Player,G,TRB,AST,STL,BLK,TOV,PTS
Terry Rozier,30,3.9,6.6,1.1,0.4,2.2,23.2
LaMelo Ball,22,5.1,8.0,1.8,0.2,3.8,23.9
Brandon Miller,74,4.3,2.4,0.9,0.6,1.8,17.3
Gordon Hayward,25,4.7,4.6,1.1,0.5,2.0,14.5
Tre Mann,28,4.5,5.2,1.7,0.1,2.0,11.9
Grant Williams,29,5.1,3.2,0.7,0.4,1.9,13.9
P.J. Washington,44,5.3,2.2,0.9,0.7,1.5,13.6
Vasilije Micić,30,2.1,6.2,0.7,0.1,2.3,10.8
Cody Martin,28,3.9,3.7,1.1,0.6,1.6,7.5
Mark Williams,19,9.7,1.2,0.8,1.1,0.9,12.7
Nick Richards,67,8.0,0.8,0.4,1.1,1.1,9.7
Dāvis Bertāns,28,1.8,0.9,0.8,0.3,0.6,8.8
Seth Curry,8,2.0,1.8,0.6,0.4,0.6,9.0
Aleksej Pokusevski,18,4.4,1.7,0.8,0.7,0.9,7.4
Ish Smith,43,1.8,3.4,0.4,0.1,1.1,3.2
Théo Maledon,13,1.8,2.2,0.5,0.0,1.2,4.2
Bryce McGowens,59,1.7,0.9,0.4,0.2,0.5,5.1
Nick Smith Jr.,51,1.4,1.2,0.2,0.1,0.8,5.9
Marques Bolden,9,3.6,0.4,0.3,0.8,0.3,4.1
JT Thor,63,2.3,0.5,0.2,0.4,0.2,3.2
Nathan Mensah,25,2.6,0.4,0.2,0.6,0.6,1.3
Leaky Black,26,1.8,0.9,0.3,0.4,0.2,2.7
Frank Ntilikina,5,1.2,0.8,0.0,0.0,0.2,1.0
Amari Bailey,10,0.9,0.7,0.3,0.0,0.4,2.3
James Bouknight,14,0.6,0.4,0.1,0.1,0.1,3.6
Anthony Edwards,79,5.4,5.1,1.3,0.5,3.1,25.9
Rudy Gobert,76,12.9,1.3,0.7,2.1,1.6,14.0
Karl-Anthony Towns,62,8.3,3.0,0.7,0.7,2.9,21.8
Jaden McDaniels,72,3.1,1.4,0.9,0.6,1.2,10.5
Mike Conley,76,2.9,5.9,1.2,0.2,1.3,11.4
Naz Reid,81,5.2,1.3,0.8,0.9,1.4,13.5
Nickeil Alexander-Walker,82,2.0,2.5,0.8,0.5,0.9,8.0
Kyle Anderson,79,3.5,4.2,0.9,0.6,1.2,6.4
Monte Morris,27,1.7,2.3,0.7,0.3,0.2,5.1
Shake Milton,38,1.3,1.3,0.4,0.1,0.7,4.7
T.J. Warren,11,2.0,0.8,0.4,0.1,0.4,3.7
Jordan McLaughlin,56,1.3,2.0,0.6,0.1,0.3,3.5
Troy Brown Jr.,37,1.9,0.9,0.2,0.1,0.5,4.2
Luka Garza,25,1.2,0.2,0.2,0.0,0.2,4.0
Daishen Nix,15,0.2,0.4,0.3,0.0,0.3,1.8
Leonard Miller,17,1.2,0.5,0.1,0.1,0.1,1.7
Wendell Moore Jr.,25,0.5,0.2,0.2,0.0,0.2,0.7
Josh Minott,32,0.5,0.3,0.2,0.2,0.1,1.6
Justin Jackson,2,0.0,0.0,0.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,75,5.5,6.2,2.0,0.9,2.2,30.1
Jalen Williams,71,4.0,4.5,1.1,0.6,1.7,19.1
Chet Holmgren,82,7.9,2.4,0.6,2.3,1.6,16.5
Luguentz Dort,79,3.6,1.4,0.9,0.6,0.9,10.9
Josh Giddey,80,6.4,4.8,0.6,0.6,2.1,12.3
Cason Wallace,82,2.3,1.5,0.9,0.5,0.5,6.8
Isaiah Joe,78,2.3,1.3,0.6,0.3,0.6,8.2
Gordon Hayward,26,2.5,1.6,0.5,0.0,0.6,5.3
Aaron Wiggins,78,2.4,1.1,0.7,0.2,0.7,6.9
Kenrich Williams,69,3.0,1.3,0.6,0.1,0.5,4.7
Jaylin Williams,69,3.4,1.6,0.4,0.4,0.5,4.0
Vasilije Micić,30,0.8,2.5,0.3,0.1,1.0,3.3
Ousmane Dieng,33,1.5,1.1,0.2,0.2,0.6,4.0
Tre Mann,13,1.8,1.5,0.2,0.0,0.7,3.8
